OTU	Z.CC14.1	Z.CC14.2	Z.CC14.3	Z.CC15.1	Z.CC15.2	Z.CC15.3	Z.CC11.1	Z.CC11.2	Z.CC11.3	Z.CC18.1	Z.CC18.2	Z.CC18.3	Z.CC7.1	Z.CC7.2	Z.CC7.3	Z.CC13.1	Z.CC13.2	Z.CC13.3	Z.CC6.1	Z.CC6.2	Z.CC6.3	Z.CC16.1	Z.CC16.2	Z.CC16.3	Z.CC5.1	Z.CC5.2	Z.CC5.3	Z.CC9.1	Z.CC9.2	Z.CC9.3	Z.CC8.1	Z.CC8.2	Z.CC8.3	Z.CC17.1	Z.CC17.2	Z.CC17.3	Z.CC19.1	Z.CC19.2	Z.CC19.3	Z.CC3.1	Z.CC3.2	Z.CC3.3	Z.CC10.1	Z.CC10.2	Z.CC10.3
Zotu10239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0
Zotu1024	0	0	0	23	14	21	42	57	0	6	8	19	89	35	77	0	0	0	69	66	169	129	53	55	12	64	27	0	0	103	22	20	26	0	7	27	66	5	50	17	100	40	102	257	92
Zotu10243	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197	404	256	0	0	0	0	0	0	0	0	0	0	0	0
Zotu10251	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	6	0	0	0	0	0	0
Zotu10253	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
Zotu10255	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu10259	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	428	252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu10261	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0
Zotu10262	0	0	0	0	0	0	0	0	0	0	0	0	6	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	4	0
Zotu10265	0	0	0	14	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	23	0	0	0	0	0	0	0
Zotu10268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	7	0	0	0
Zotu10269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	6	0	0	0	0	0	0
Zotu10274	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0
Zotu10277	6	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0
Zotu10278	0	0	0	16	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	7	0	0	0	0	0	0	3	0	7	0	0	0	0	0	0	0	0	0
Zotu10287	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	13
Zotu10288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu10289	0	13	0	0	0	0	0	11	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1029	0	0	0	49	43	18	0	0	0	0	6	38	66	59	36	59	0	28	0	0	0	31	0	10	47	78	65	0	0	0	27	29	18	3	14	95	15	16	0	0	0	0	0	0	11
Zotu10290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	7	0	0	0	0	0	0	0	0	0
Zotu10291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	0	0	0	5	0	0	0	0	0	0	0	10
